"pro","class"
0.331504785366705,"No"
0.272157900949084,"No"
0.516224895100999,"No"
0.912964122852877,"No"
0.216732832341247,"No"
0.462557477991746,"No"
0.102495836701395,"No"
0.243192408842699,"No"
0.208119276162899,"No"
0.283897518368953,"No"
0.453096230184658,"No"
0.187086936676443,"No"
0.352930567118236,"No"
0.263233685721606,"No"
0.373075715470967,"No"
0.587554972388229,"No"
0.185181804593537,"No"
0.227665860687928,"No"
0.250181390205676,"No"
0.333343074828953,"No"
0.296884913865715,"No"
0.0582846372053309,"No"
0.280501941070597,"No"
0.249354599841911,"No"
0.254343557298614,"No"
0.254239034210268,"No"
0.80489724538423,"No"
0.468169658056114,"No"
0.277224495562491,"No"
0.428561519251724,"No"
0.531123120898993,"No"
0.0886935928677455,"No"
0.0553987570036123,"No"
0.287332373733623,"No"
0.610052199377643,"No"
0.322839275516797,"No"
0.488466309896449,"No"
0.254301135936808,"No"
0.584949399910662,"No"
0.808005297209137,"No"
0.507642401244188,"No"
